epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,13096.2,0.67065,0.25579,0.76831,0.95586,0.79692,0.86697,0.63235,0.95676,0.3202,0.79181,0.001585,0.001585,0.001585
138,13185.2,0.66822,0.25493,0.7682,0.95616,0.79861,0.8669,0.63285,0.95634,0.3206,0.79173,0.00152313,0.00152313,0.00152313
139,13273.1,0.66196,0.25348,0.76757,0.95657,0.79827,0.86689,0.6336,0.95446,0.32099,0.79163,0.00146125,0.00146125,0.00146125
140,13363.5,0.66643,0.25397,0.76809,0.95602,0.79781,0.86644,0.63453,0.95391,0.32117,0.79163,0.00139938,0.00139938,0.00139938
141,13452.4,0.66013,0.25261,0.76719,0.9577,0.79844,0.86728,0.63359,0.95372,0.32013,0.79151,0.0013375,0.0013375,0.0013375
142,13541.2,0.66068,0.25243,0.76709,0.9575,0.79742,0.86661,0.63306,0.95352,0.32103,0.79146,0.00127563,0.00127563,0.00127563
143,13626.7,0.66802,0.25215,0.76674,0.95313,0.79915,0.86633,0.63257,0.95347,0.32081,0.79139,0.00121375,0.00121375,0.00121375
144,13711.8,0.65709,0.24954,0.76596,0.95373,0.79877,0.86659,0.63365,0.95342,0.32126,0.79139,0.00115187,0.00115187,0.00115187
145,13799.7,0.65224,0.24937,0.7663,0.95517,0.79806,0.86605,0.63387,0.95382,0.32173,0.79135,0.00109,0.00109,0.00109
146,13887.6,0.64876,0.24789,0.76602,0.95406,0.79831,0.8658,0.63377,0.95355,0.32178,0.7913,0.00102812,0.00102812,0.00102812
147,13973.2,0.65111,0.24851,0.76623,0.97336,0.79278,0.86627,0.63431,0.95366,0.3216,0.79132,0.00096625,0.00096625,0.00096625
148,14061.7,0.65642,0.24884,0.766,0.97316,0.79223,0.86619,0.63386,0.95377,0.3216,0.7913,0.000904375,0.000904375,0.000904375
149,14154.7,0.64482,0.2458,0.76565,0.97182,0.79281,0.86612,0.63413,0.95322,0.32232,0.79121,0.0008425,0.0008425,0.0008425
150,14252,0.64072,0.24424,0.76604,0.97233,0.79273,0.86685,0.63483,0.95366,0.32238,0.79119,0.000780625,0.000780625,0.000780625
151,14359.4,0.63839,0.24302,0.76684,0.97285,0.79245,0.86604,0.63467,0.95385,0.32234,0.79117,0.00071875,0.00071875,0.00071875
152,14449.4,0.6355,0.2428,0.76562,0.97235,0.79236,0.867,0.63508,0.95319,0.32269,0.79107,0.000656875,0.000656875,0.000656875
153,14547.3,0.63572,0.24222,0.76595,0.9698,0.79326,0.86708,0.63467,0.95384,0.32279,0.79109,0.000595,0.000595,0.000595
154,14647.5,0.63173,0.24064,0.76772,0.96856,0.79374,0.86715,0.63522,0.95344,0.3234,0.79106,0.000533125,0.000533125,0.000533125
155,14738,0.63367,0.23957,0.76558,0.96766,0.79506,0.86677,0.63453,0.95325,0.32401,0.79097,0.00047125,0.00047125,0.00047125
156,14836.8,0.63212,0.23949,0.76467,0.97335,0.79289,0.86691,0.63484,0.95299,0.32404,0.7909,0.000409375,0.000409375,0.000409375
157,14926.6,0.62946,0.23838,0.76586,0.97343,0.79288,0.86612,0.63527,0.95326,0.32409,0.79092,0.0003475,0.0003475,0.0003475
158,15016.4,0.62647,0.23703,0.76571,0.97372,0.79286,0.86632,0.63532,0.95312,0.32485,0.79084,0.000285625,0.000285625,0.000285625
159,15103.6,0.62768,0.23713,0.76483,0.97391,0.79307,0.86625,0.635,0.95333,0.32494,0.79084,0.00022375,0.00022375,0.00022375
160,15188.2,0.62647,0.23705,0.76428,0.97219,0.79412,0.86606,0.63479,0.9528,0.32488,0.79078,0.000161875,0.000161875,0.000161875
